userId,total_Deposit_usd,total_Borrow_usd,total_Repay_usd,total_liquification_usd,total_redeemunderlying_usd,num_Deposits,num_Borrows,num_Repays,avg_Borrow_rate,total_collateral_usd,num_unique_assets
0x00000000001accfa9cef68cf5371a23025b6d4b6,1987663654.8592713,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x000000000051d07a4fb3bd10121a343d85818da6,2.8569448036149264e+20,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x000000000096026fb41fc39f9875d164bd82e2dc,5152310624158186.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,1
0x0000000002032370b971dabd36d72f3e5a7bf1ee,2.0657733084285222e+23,6.029762086214078e+22,70150263790.74075,0.0,1.1287452027975938e+23,250,15,4,1.1050528894218897e+26,0.0,6
0x000000000a38444e0a6e37d3b630d7e855a7cb13,1.8390665686010514e+22,11631431210.321323,11640280239.62217,0.0,4.617415427858305e+21,7,8,5,3.624248747309549e+25,0.0,5
0x000000003853fcedcd0355fec98ca3192833f00b,7.637631560497202e+16,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,7
0x000000003ce0cf2c037493b1dc087204bd7f713e,4.585861982762907e+23,1.3241576090263831e+23,3.3981287306094464e+20,0.0,2.995389076276737e+23,309,30,16,7.715367909999583e+25,0.0,7
0x000000007858e6f2668e1e06111cfa24403a5466,1.421606664814541e+17,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1766652.503785739,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,7.999916941682947e+23,5.975019617796153e+23,5.97568679828446e+23,0.0,8.010729370227362e+23,26,24,9,4.0617922138429796e+25,0.0,1
0x00000029ff545c86524ade7caf132527707948c4,3.2546605034654667e+24,1.759512594809414e+24,1.7435939341859732e+24,0.0,3.2333872696175736e+24,12,12,12,2.5927980590879165e+25,0.0,4
0x00000087c4cebffb95746d1935de7fbcab092f40,2.21691994166264e+22,2.3164201034194214e+22,1.1991513226122326e+21,0.0,3.8536807806854195e+18,86,62,45,3.0982965088216786e+25,0.0,8
0x000000e28faa823d5b53ff6c2922c28335840375,3.134059613762208e+24,2.5596788392218024e+24,1.852344056814564e+24,0.0,2.4103289949531448e+24,107,66,63,5.06609759419805e+25,0.0,7
0x000006eee6e39015cb523aebdd4d0b1855aba682,4.284915292921577e+22,2.300705925998673e+22,2.3151274780815503e+22,0.0,5.084289923910206e+16,11,4,1,3.7087439938151025e+25,1.621784354032096e+21,5
0x00000a9c78912badb92d73b6ed26456e11def5eb,1692754.3127773313,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x00002b503a75998c97508916a74fdb41934fa030,2.2937294172388544e+24,6.17898181994775e+23,4.2714778564618414e+23,0.0,1.5775225802578294e+24,27,47,45,5.7316871507846785e+25,0.0,7
0x0000897253cc85f7547317eb2080b36b3255687a,4.6618576206638966e+20,0.0,0.0,0.0,4.6553240002876506e+20,1,0,0,0.0,0.0,1
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1116218.296466259,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x0000ce08fa224696a819877070bf378e8b131acf,1.967476047132329e+18,1.257932658028036e+21,0.0,0.0,1946617604.6316595,3,1,0,6.778314544698273e+25,0.0,2
0x00010a708585ba4812a1c5976182626c75cb7a6b,1.143529118181716e+21,3.026874016220637e+20,3.0236267435993026e+20,0.0,2.0184737666495033e+19,9,6,7,3.8477059524514917e+25,0.0,6
0x00016fc0c9f7620e920e1423fd455f9574f48025,3.145759276004647e+18,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,1
0x0002761e848b24046a53d494847b11a3e1d36b09,1.0022621744374797e+18,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,1011250.6095471126,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,1
0x0003816b25fd3d6c112eb65c089760fa3f791947,7.122699059900503e+21,2.9465930000000006e+21,2.946950500000006e+21,0.0,7.118472277000015e+21,1,1,1,4.3987983963843055e+25,0.0,2
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,3.317100770436774e+19,917402818.3810866,0.0,0.0,653242336.6781422,12,5,0,4.327563551290545e+25,0.0,4
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1049493536.6497108,0.0,0.0,0.0,1049493771.5306413,1,0,0,0.0,0.0,1
0x0003f46779806fe779e7f30eec95dbdb4d45840b,2186046136.065428,2095927039.2505465,1474267220.1061494,0.0,1399922022.7566319,8,6,5,3.386720657815009e+25,0.0,2
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,994062140.2142456,505675140.2199634,543485405.5313202,0.0,1130262741.3779194,2,3,1,3.886233124341859e+25,0.0,2
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2.741759361949003e+21,518312732.4254524,0.0,0.0,0.0,1,1,0,3.8583327718987968e+25,0.0,2
